Day,Torah / History,Wisdom,Prophets,New Testament
1,,Ps 1-5,,
2,Gen 1-3,,,
3,Josh 1-5,,,
4,,Job 1-2,,
5,,,Isa 1-6,
6,,,,Matt 1-2
7,,,,Rom 1-2
8,,Ps 6-8,,
9,Gen 4-7,,,
10,Josh 6-10,,,
11,,Job 3-4,,
12,,,Isa 7-11,
13,,,,Matt 3-4
14,,,,Rom 3-4
15,,Ps 9-12,,
16,Gen 8-11,,,
17,Josh 11-15,,,
18,,Job 5-6,,
19,,,Isa 12-17,
20,,,,Matt 5-7
21,,,,Rom 5-6
22,,Ps 13-17,,
23,Gen 12-15,,,
24,Josh 16-20,,,
25,,Job 7-8,,
26,,,Isa 18-22,
27,,,,Matt 8-10
28,,,,Rom 7-8
29,,Ps 18,,
30,Gen 16-19,,,
31,Josh 21-24,,,
32,,Job 9-10,,
33,,,Isa 23-28,
34,,,,Matt 11-13
35,,,,Rom 9-10
36,,Ps 19-21,,
37,Gen 20-23,,,
38,Judg 1-6,,,
39,,Job 11-12,,
40,,,Isa 29-33,
41,,,,Matt 14-16
42,,,,Rom 11-12
43,,Ps 22-23,,
44,Gen 24-27,,,
45,Judg 7-11,,,
46,,Job 13-14,,
47,,,Isa 34-39,
48,,,,Matt 17-19
49,,,,Rom 13-14
50,,Ps 24-26,,
51,Gen 28-31,,,
52,Judg 12-16,,,
53,,Job 15-16,,
54,,,Isa 40-44,
55,,,,Matt 20-22
56,,,,Rom 15-16
57,,Ps 27-30,,
58,Gen 32-35,,,
59,Judg 17-21,,,
60,,Job 17-18,,
61,,,Isa 45-50,
62,,,,Matt 23-25
63,,,,1 Cor 1-2
64,,Ps 31-32,,
65,Gen 36-39,,,
66,Ruth 1-4,,,
67,,Job 19-20,,
68,,,Isa 51-55,
69,,,,Matt 26-28
70,,,,1 Cor 3-4
71,,Ps 33-34,,
72,Gen 40-43,,,
73,1 Sam 1-5,,,
74,,Job 21-22,,
75,,,Isa 56-61,
76,,,,Mark 1-2
77,,,,1 Cor 5-6
78,,Ps 35-36,,
79,Gen 44-47,,,
80,1 Sam 6-10,,,
81,,Job 23-24,,
82,,,Isa 62-66,
83,,,,Mark 3-4
84,,,,1 Cor 7-8
85,,Ps 37-38,,
86,Gen 48-50,,,
87,1 Sam 11-15,,,
88,,Job 25-26,,
89,,,Jer 1-6,
90,,,,Mark 5-6
91,,,,1 Cor 9-10
92,,Ps 39-41,,
93,Ex 1-4,,,
94,1 Sam 16-20,,,
95,,Job 27-28,,
96,,,Jer 7-11,
97,,,,Mark 7-8
98,,,,1 Cor 11-12
99,,Ps 42-44,,
100,Ex 5-8,,,
101,1 Sam 21-25,,,
102,,Job 29-30,,
103,,,Jer 12-16,
104,,,,Mark 9-10
105,,,,1 Cor 13-14
106,,Ps 45-48,,
107,Ex 9-12,,,
108,1 Sam 26-31,,,
109,,Job 31-32,,
110,,,Jer 17-21,
111,,,,Mark 11-12
112,,,,1 Cor 15-16
113,,Ps 49-51,,
114,Ex 13-16,,,
115,2 Sam 1-4,,,
116,,Job 33-34,,
117,,,Jer 22-26,
118,,,,Mark 13-14
119,,,,2 Cor 1-3
120,,Ps 52-55,,
121,Ex 17-20,,,
122,2 Sam 5-9,,,
123,,Job 35-36,,
124,,,Jer 27-31,
125,,,,Mark 15-16
126,,,,2 Cor 4-5
127,,Ps 56-59,,
128,Ex 21-24,,,
129,2 Sam 10-14,,,
130,,Job 37-38,,
131,,,Jer 32-36,
132,,,,Luke 1-2
133,,,,2 Cor 6-8
134,,Ps 60-63,,
135,Ex 25-28,,,
136,2 Sam 15-19,,,
137,,Job 39-40,,
138,,,Jer 37-41,
139,,,,Luke 3-4
140,,,,2 Cor 9-10
141,,Ps 64-66,,
142,Ex 29-32,,,
143,2 Sam 20-24,,,
144,,Job 41-42,,
145,,,Jer 42-46,
146,,,,Luke 5-6
147,,,,2 Cor 11-12
148,,Ps 67-68,,
149,Ex 33-36,,,
